Name,Selected Bibliography
Shima Ryū,"Kinoshita Naoyuki, 写真画論：写真と絵画の結婚<i> </i>(On the Photographic Image: The Marriage of Photography and Painting) (Tokyo: Iwanami Shoten, 1996)."
Shima Ryū,"写真渡来の頃<i> </i>(The Advent of Photography in Japan) (Tokyo: Tokyo Metropolitan Museum of Photography; Hakodate: Hakodate Museum of Art, 1997)."
Shima Ryū,"Anne Wilkes Tucker, ed., et al., <i>The History of Japanese Photography</i> (New Haven: Yale University Press; Houston: Museum of Fine Arts, Houston, 2003)."
Hanawa Yoshino,"Murashima Ayaka,「メディアとしての演劇写真事始 : 塙芳野の時代」 (The Origins of Theater Photography as Media: Hanawa Yoshino's Era), Bungaku kenkyū ronshū 38 (2012): 181-200."
Tokuriki Sakuko,"Tokuriki Sakuko,「婦人写真氏の実歴」(True Story of a Woman Photographer), Fujin sekai 2:14 (1907): 30-33."
Yamazawa Eiko,"山沢英子展 (Yamazawa Eiko Exhibition) (Itami: Itami City Museum of Art, 1994)."
Yamazawa Eiko,"<i>Japanese Women Artists Before and After World War II, 1930s-1950s </i>(Utsunomiya: Tochigi Prefectural Museum of Fine Arts, 2001)."
Yamazawa Eiko,"Ikegami Tsukasa and Suzuki Yoshiko, 山沢英子：私の原題 (Eiko Yamazawa: What I Am Doing) (Kyoto: Akaaka Art Publishing, 2019)."
Saeki Toshiko,
Saiki Sachiko,"斎木幸子：旅の写真と思い出 (Saiki Sachiko: Photographs and Recollections of Her Travels) (Kyoto: Uchida Tatsuko, 1985)."
Sasamoto Tsuneko,"Sasamoto Tsuneko, 恒子の昭和：日本初の女性報道写真家が撮影した人と出来事 (Tsuneko's Shōwa: The People and Events Captured by Japan's First Female Photojournalist) (Tokyo: Shogakukan, 2012)."
Sasamoto Tsuneko,"Sasamoto Tsuneko, 100歳のファインダー：日本初の女性報道写真家笹本恒子 (100-Year-Old Finder: Japan's First Female Photojournalist Sasamoto Tsuneko) (Tokyo: Tokyo shimbun shuppankyoku, 2014)."
Matsuyama Tazuko,"松山たづ子：全て写真になる日まで (Matsuyama Tazuko: Until the Day When All the Photographs are Taken) (Izu: Izu Photo Museum, 2014)."
Kiyooka Sumiko,"Maenaka Kōshi, Interview with Kiyooka Sumiko, 「清岡賞は百万円です」(The Kiyooka Prize is 1,000,000 Yen), Shashin jidai (October 1982)."
Okanoue Toshiko,"Okanoue Toshiko, 「私とコラージュ」(The Collage and I), Tsukue (April 1953)."
Okanoue Toshiko,"Takiguchi Shūzō, 「岡上淑子のコラージュについて」(Okanoue Toshiko's Collages), Camera (March 1956)."
Okanoue Toshiko,"Okanoue Toshiko Photo-Collage: Droplets of Dreams, Exhibition pamphlet in Japanese and English (Tokyo: Dai-ichi Mutual Life Insurance South Gallery, 2000)."
Tokiwa Toyoko,"「女性作家とリアリイズム」(Women Artists and Realism), Photo Art (April 1955)."
Tokiwa Toyoko,"危險な毒花 (Dangerous Poison Flowers) (Tokyo: 三笠書房, 1957)"
Tokiwa Toyoko,"Kelly McCormick, “Tokiwa Toyoko, The Nude Shooting Session, and the Gendered Optics of Japanese Postwar Photography,” Japan Forum (September 2021)."
Imai Hisae,"サラブレート賛歌：今井寿恵作品集 (Celebratory Hymn: The Collected Works of Imai Hisae) (Tokyo: Genkōsha, 1987)."
Yoshida Ruiko,"Ogawa Nobuko, フォトジャーナリスト吉田ルイ子 (Photojournalist Yoshida Ruiko) (Tokyo: Rironsha, 1998)."
Yoshida Ruiko,"Peter Duus and Kenji Hasegawa, eds. Rediscovering America: Japanese Perspectives on the American Century (Berkeley: University of California Press, 2011)."
Ushioda Tokuko,"Russet Lederman and Olga Yatskevich, eds. What They Saw: Historical Photobooks by Women, 1843-1999 (New York: 10x10 Photobooks, Inc., 2021)."
Ushioda Tokuko,"Miyuki Hinton, From Student to Master: Tokuko Ushioda and Her Teachers, Online catalogue (New York: Alison Bradley Projects, 2022)."
Watanabe Hitomi,"東大全共闘 : われわれにとって東大闘争とは何か (Tōdai Zenkyōtō: What the Tokyo University Conflict Is for Us) (San-ichi Publishing Co., 1969)"
Watanabe Hitomi,"日本写真の1968 (1968 in Japanese Photography) (Tokyo: Tokyo Metropolitan Museum of Photography, 2013)."
Watanabe Hitomi,"Tsuyoshi Ito, ""Behind the Barricades,"" Interview with Watanabe Hitomi, Aperture online (March 22, 2017)."
Sugiura Kunie,"Holland Cotter, ""New Photography 13,"" The New York Times (November 7, 1997)."
Sugiura Kunie,"Eric C. Shiner and Reiko Tomii, Making a Home: Japanese Contemporary Artists in New York (New York: Japan Society, 2007)."
Sugiura Kunie,"Suzuki Yoshiko, ed. 杉浦邦恵：うつくしい実験 / ニューヨークとの50年 (Sugiura Kunie: Aspiring Experiments / New York in 50 Years) (Tokyo: Tokyo Photographic Art Museum, 2018)."
Ōishi Yoshino,"隠岐の国：大石芳野作品展 (The Land of Oki: Work by Ōishi Yoshino) (Tokyo: JCII Photo Salon, 2011)."
Ōishi Yoshino,"瞳の奥に : 戦争がある : 大石芳野写真展 (War Within the Eyes: Ōishi Yoshino Photography Exhibition) (Musashino City Kichijoji Art Museum, 2021)."
Furui Mizue,"Satō Tadao, シリーズ日本のドキュメンタリー 3 (生活・文化編) (Series Japan Documentary 3) (Tokyo: Iwanami shoten, 2010)."
Furui Mizue,"Fujimoto Takayuki and Kaneko Yū, eds. 映画で旅するイスラーム : 知られざる世界へ (Islam Travel Through Movies: To an Unknown World) (Tokyo: Ronsōsha, 2018)."
Takagi Yuriko,Nus Intimes (Japan: Yobisha 1994)
Takagi Yuriko,"Confused Gravitation (Tokyo: Bijutsu shuppansha, 1994)"
Takagi Yuriko,"Skin : Yuriko Takagi×Kozue Hibino (Fusosha, 1998)"
Ishikawa Mao,"熱き日々inキャンプハンセン‼︎ (≈ Hot Days in Camp Hansen‼︎) (Okinawa: Aman, 1982)."
Ishikawa Mao,"日の丸を観る目 (Here’s What the Japanese Flag Means to Me) (Tokyo: Miraisha, 2011)."
Ishikawa Mao,"Zohar, Ayelet. ""Okinawa/Philadelphia/Tokyo: The Specificity and Complexity of Mao Ishikawa's Photographic Work,"" <i>Trans-Asia Photography Review Women's Camera Work: Asia</i> 2:2 (Spring): 2012."
Kon Michiko,"Samuel C. Morse, ""Curatorial Project: Kon Michiko"" <i>Trans-Asia Photogrpahy Review</i> Vol. 4 Issue 2 (March 2014)"
Kon Michiko,"フィリア : 今道子 = Philia : Kon Michiko (Museum of Modern Art, Kamakura & Hayama: 2021) exh. catalogue"
Kon Michiko,"""写真芸術の世界 今道子"" (The World of Photo Art: Kon Michiko) 版画芸術 50 (3) (2021): 108-113."
Satō Nanako,"""佐藤奈々子とTera@momentインタビュアー ” <i>moment </i>(September 2, 2003): http://www.moment.gr.jp/9/interview.html"
Kamikura Yoshiko,"日本のコンテンポラリー : 写真をめぐる12の指標/Japanese contemporary photography : twelve viewpoints (東京都写真美術館, 1990)"
Yoneda Tomoko,"「米田知子が語る、写真によってとらえた「見えざる記憶と歴史」（Tomoko Yoneda talks about ""invisitble memories and history captured by photographs"") <i>Bijutsu Teccho </i>February 11, 2020"
Ishiuchi Miyako,"石内都展 : モノクロームー時の器 (Miyako Ishiuchi: Time Textured in Monochrome) (Tokyo: National Museum of Modern Art, Tokyo, 1999)."
Ishiuchi Miyako,"Amanda Maddox, et al. Ishiuchi Miyako: Postwar Shadows (Los Angeles: J. Paul Getty Museum, 2015)."
Ishiuchi Miyako,"Ishiuchi Miyako, Lena Fritsch, and Christopher Phillips, Ishiuchi Miyako: Hasselblad Award 2014 (Heidelberg: Kehrer Verlag, 2014)."
Yoneda Tomoko,"Atsuo Yasuda: “Between Visible and Invisible - concerning Tomoko Yoneda” in 米田知子展 : 終わりは始まり/ Yoneda Tomoko: An End is a Beginning, exh. cat. (Tokyo: Hara Museum of Contemporary Art, 2008)"
Yoneda Tomoko,"Atsuo Yamamoto: “PHOTOGRAPHING THE NEGATIVE ON THE TOMOKO YONEDA’S NEW WORK,” in 震災から10年/A Decade After, exh. cat., (Ashiya, Hyogo: Ashiya City Museum of Art and History, 2005)"
Yoneda Tomoko,"Andrew Maerkle and Natsuko Odate, ""Tomoko Yoneda: Part I The Multiple Lives of Images"" February 1, 2012, ""Part II"" February 8, 2022 <i>Art iT</i>"
Higashi Yumi,
Higashi Yumi,"「足尾の今昔写真に記録」<i>Asahi shimbun</i> (September 11, 2009)"
Higashi Yumi,"「足尾銅山の今昔写真展」<i>Mainichi shimbun</i> (September 14, 2009)"
Watanabe Fujie,"「女流写真家　告知板」(The Female Photographer Notification Board) <i>Asahi Graph</i> (August, 1952): 24-25"
Takahashi Chiyo,"「女流写真家　告知板」(The Female Photographer Notification Board) Asahi Graph (August, 1952): 24-25"
Ogawa Chieko,"Ogawa Chieko, “Josei cameraman arekore” (This and that on female cameramen) <i>Foto tekune</i>"
Ogawa Chieko,"「写真商売うらおもて：女流プロカメラマン」(Both sides of the photo business: Professional women photographers) Asahi kamera (August, 1957): 155-160."
Akahori Masuko,"「夏の宵・女流写真家・演題ばなし」(A summer’s eve ・Female Photographer’s ・Bench talk) Photo Art, September 1956"
