Name,Year,Event,Image,Image caption,,,,,,,,,,,,,,,,,,,,,
Yamazawa Eiko,1977,Receives the Photographic Society of Japan Distinguished Contributions Award,,,,,,,,,,,,,,,,,,,,,,,
Yamazawa Eiko,1980,Receives the Kobe City Cultural Prize,,,,,,,,,,,,,,,,,,,,,,,
Yamazawa Eiko,1982,Publishes 私の原題―位置  方向 (What I'm Doing: Positions and Directions),,,,,,,,,,,,,,,,,,,,,,,
Yamazawa Eiko,1983,Publishes 私は女流写真家 (I Am a Woman Photographer),,,,,,,,,,,,,,,,,,,,,,,
Yamazawa Eiko,1986,Publishes 私の原題３ (What I'm Doing 3),,,,,,,,,,,,,,,,,,,,,,,
Yamazawa Eiko,1994,Holds retrospective exhibition at the Itami City Museum of Art,,,,,,,,,,,,,,,,,,,,,,,
Saeki Toshiko,1958,Begins taking photographs of bird with her child's camera,,,,,,,,,,,,,,,,,,,,,,,
Saeki Toshiko,1962,Publishes 庭にくる鳥―佐伯敏子写真集 (Birds As Our Guests in the Garden: Saeki Toshiko Photobook),,,,,,,,,,,,,,,,,,,,,,,
Saeki Toshiko,1966,Publishes Volume 2 of 庭にくる鳥,,,,,,,,,,,,,,,,,,,,,,,
Saeki Toshiko,1976,Publishes Volume 3 of 庭にくる鳥,,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1935,Graduates from the Oriental Photography School in Tokyo and begins working at the photo studio at the Sogō Department Store in Osaka,,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1941,Receives Honorable Mention for Photography in the Kokuten,,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1946,Begins operating photo studios at the US Army Post Exchanges in Kyoto and Ōtsu,,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1958,"At the request of fashion designer Fujikawa Nobuko, she takes over the photography for the magazine Mode Techo, published by Kyoto University of Art and Design",,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1959,Opens Saiki Sachiko Photo Studio in Kyoto,,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1963,First trip photographing abroad,,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1964,"Begins photographing extensively in Southeast Asia, especially Hong Kong and Thailand",,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1968,"Begins coverage of countries along the Silk Road, such as Afghanistan, Iran, China, and the former Soviet Union",,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1976,Publishes シルクロード―人と出逢う旅 (Silk Road: A Journey of Human Encounters),,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1978,Publishes シルクロード百科 (An Encyclopedia of the Silk Road),,,,,,,,,,,,,,,,,,,,,,,
Saiki Sachiko,1981,Appointed head juror for the Photography Department's Documentary Division of the Kokuten; Publishes 遊牧民旅情―砂漠の華 (The Nomad's Journey: Desert Flowers),,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1940,Joins the Photographic Society of Japan at the invitation of Hayashi Kenichi,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1945,Begins working for the local newspaper Chiba Shimbun,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1946,Begins working for the the Fujin minshu shimbun newspaper in Tokyo,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1948,Embarks on a freelance career as a photojournalist,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1988,Publishes a book of portraiture ふだん着の肖像 : 昭和 20-30年代を彩った 100人 (Portraits in Everyday Wears: 100 People Who Enlivened the Shōwa Decades),,,,,,,,,,,,,,,,,,,,,,,
